"educ","abd","fthr_ed","hh_size96","mthr_ed","orphan96","hh_fthr_frm","age"
10,0,12,7,10,0,0,18
6,1,10,19,4,0,1,25
5,0,4,5,4,1,1,14
6,0,7,6,0,0,1,17
10,0,4,13,0,0,0,17
2,0,10,8,0,0,1,19
3,1,10,6,4,0,1,29
6,1,7,14,0,0,1,22
7,1,10,14,4,0,1,25
10,0,0,2,0,0,1,17
6,0,4,8,0,0,1,28
13,0,10,7,0,0,1,19
4,0,12,7,7,0,1,14
9,1,7,5,4,0,1,16
10,0,7,8,4,0,1,20
6,0,4,10,0,0,1,20
6,1,4,10,0,0,1,15
7,1,4,11,0,0,1,26
10,1,4,11,4,0,1,17
5,0,7,7,4,0,1,14
11,0,7,7,0,0,0,19
13,1,7,7,7,1,0,20
11,0,7,8,0,0,1,22
6,1,4,8,0,0,1,25
5,1,7,3,0,0,0,15
9,0,4,5,0,1,1,20
0,1,0,7,0,0,1,26
10,1,7,15,0,0,1,18
12,1,12,4,0,0,1,18
10,0,4,2,4,0,1,30
7,1,12,9,0,0,1,20
9,0,4,5,4,0,1,17
4,0,4,5,0,0,1,23
5,1,10,13,0,0,1,27
11,1,10,10,10,0,1,18
9,1,0,4,0,0,1,19
6,1,10,10,0,1,1,30
5,0,4,8,4,0,1,14
5,1,4,4,4,0,1,14
6,0,7,14,4,0,1,16
9,0,10,19,7,0,1,15
13,1,4,15,0,0,1,23
7,1,7,8,0,0,1,25
8,1,4,8,4,0,1,22
2,1,4,4,0,0,1,30
5,0,10,5,0,0,1,28
5,1,4,4,0,0,1,14
7,1,4,5,4,0,1,28
5,1,4,7,0,0,1,16
3,1,4,5,0,0,1,30
7,1,4,6,0,0,1,15
7,1,4,4,0,0,1,27
5,0,4,5,0,0,1,21
10,0,7,13,0,0,1,16
7,1,4,5,0,0,0,22
9,1,10,8,4,1,1,25
10,1,7,11.1002740859985,4,0,1,26
2,0,12,7,0,0,1,23
7,1,4,7,0,0,1,22
11,1,4,8,0,0,1,28
10,0,4,14,0,0,1,19
9,1,4,3,0,0,1,18
7,1,7,11,0,0,1,16
4,1,7,11,0,0,1,24
6,0,10,12,10,0,1,14
13,0,10,6,4,0,1,26
13,1,15,6,4,0,1,22
10,0,4,14,4,0,1,18
11,0,4,7,0,0,0,17
10,0,4,12,4,0,1,17
11,1,4,20,0,0,1,26
6,1,4,7,4,0,1,14
7,1,10,3,0,0,1,17
5,1,4,8,4,0,1,19
7,1,10,10,4,0,1,24
3,0,4,8,0,0,1,28
5,1,0,9,4,0,1,17
10,0,12,4,4,1,1,21
5,1,0,20,0,0,1,17
9,0,7,16,4,0,1,24
7,0,0,8,0,0,1,15
6,0,4,6,0,0,1,16
7,1,10,7,10,0,1,20
1,0,0,18,0,0,1,20
13,0,15,6,0,0,1,18
11,0,4,6,0,0,1,20
4,1,4,11,0,0,1,18
10,1,10,6,0,0,1,16
7,1,4,12,7,0,1,25
