"","councilnumber","year","logSgwaPercap","treat","first_treat","cohort"
"568",36,1994,3.66525936126709,0,1997,2
"569",36,1995,3.49689936637878,0,1997,2
"570",36,1996,3.457359790802,0,1997,2
"571",36,1997,3.91360187530518,1,1997,2
"572",36,1998,3.94289064407349,1,1997,2
"573",36,1999,4.0412392616272,1,1997,2
"574",36,2000,4.47993469238281,1,1997,2
"575",36,2001,4.55277824401855,1,1997,2
"576",36,2002,4.87612104415894,1,1997,2
"577",36,2003,5.03078460693359,0,1997,2
"578",36,2004,5.17425727844238,0,1997,2
"579",36,2005,5.18437004089355,0,1997,2
"580",36,2006,6.63454627990723,0,1997,2
"581",36,2007,6.68623542785645,0,1997,2
"582",36,2008,6.66570281982422,0,1997,2
"583",36,2009,6.70319032669067,0,1997,2
"584",36,2010,6.69761657714844,0,1997,2
"585",36,2011,6.75222778320312,0,1997,2
"586",36,2012,6.80166482925415,0,1997,2
"591",38,1992,0.78602546453476,0,2011,3
"592",38,1993,0.828771352767944,0,2011,3
"593",38,1994,0.945489883422852,0,2011,3
"594",38,1995,0.965770781040192,0,2011,3
"595",38,1996,0.85794872045517,0,2011,3
"596",38,1997,0.875468790531158,0,2011,3
"597",38,1998,0.861196100711823,0,2011,3
"598",38,1999,0.857506096363068,0,2011,3
"599",38,2000,1.22559523582458,0,2011,3
"600",38,2001,1.22559523582458,0,2011,3
"601",38,2002,1.13537454605103,0,2011,3
"602",38,2003,3.26988244056702,0,2011,3
"603",38,2004,3.27138566970825,0,2011,3
"604",38,2005,3.37856817245483,0,2011,3
"605",38,2006,3.61167359352112,0,2011,3
"606",38,2007,3.54644155502319,0,2011,3
"607",38,2008,2.66541600227356,0,2011,3
"608",38,2009,2.6907787322998,0,2011,3
"609",38,2010,2.71545553207397,0,2011,3
"610",38,2011,2.38236689567566,1,2011,3
"611",38,2012,2.31772422790527,1,2011,3
"615",39,1995,1.41537058353424,0,NA,0
"616",39,1996,1.64961373806,0,NA,0
"617",40,1997,2.98197340965271,0,2010,3
"618",40,1998,3.51158261299133,0,2010,3
"619",40,1999,3.508052110672,0,2010,3
"620",40,2000,3.98948574066162,0,2010,3
"621",40,2001,4.48388862609863,0,2010,3
"622",40,2002,4.75720310211182,0,2010,3
"623",40,2003,4.76586580276489,0,2010,3
